comparison,left,right,scale,paired_training_seeds,makespan_delta,makespan_delta_ci95_lower,makespan_delta_ci95_upper,makespan_effect,makespan_p_raw,completion_rate_delta,completion_rate_delta_ci95_lower,completion_rate_delta_ci95_upper,completion_rate_effect,completion_rate_p_raw,deadline_completion_rate_delta,deadline_completion_rate_delta_ci95_lower,deadline_completion_rate_delta_ci95_upper,deadline_completion_rate_effect,deadline_completion_rate_p_raw,mission_success_delta,mission_success_delta_ci95_lower,mission_success_delta_ci95_upper,mission_success_effect,mission_success_p_raw,deadline_remaining_tasks_delta,deadline_remaining_tasks_delta_ci95_lower,deadline_remaining_tasks_delta_ci95_upper,deadline_remaining_tasks_effect,deadline_remaining_tasks_p_raw,throughput_delta,throughput_delta_ci95_lower,throughput_delta_ci95_upper,throughput_effect,throughput_p_raw,invalid_actions_delta,invalid_actions_delta_ci95_lower,invalid_actions_delta_ci95_upper,invalid_actions_effect,invalid_actions_p_raw,communication_events_delta,communication_events_delta_ci95_lower,communication_events_delta_ci95_upper,communication_events_effect,communication_events_p_raw,heartbeat_messages_delta,heartbeat_messages_delta_ci95_lower,heartbeat_messages_delta_ci95_upper,heartbeat_messages_effect,heartbeat_messages_p_raw,reallocated_tasks_delta,reallocated_tasks_delta_ci95_lower,reallocated_tasks_delta_ci95_upper,reallocated_tasks_effect,reallocated_tasks_p_raw,reallocation_successes_delta,reallocation_successes_delta_ci95_lower,reallocation_successes_delta_ci95_upper,reallocation_successes_effect,reallocation_successes_p_raw,reallocation_success_rate_delta,reallocation_success_rate_delta_ci95_lower,reallocation_success_rate_delta_ci95_upper,reallocation_success_rate_effect,reallocation_success_rate_p_raw,return_delta,return_delta_ci95_lower,return_delta_ci95_upper,return_effect,return_p_raw,makespan_p_holm,completion_rate_p_holm,deadline_completion_rate_p_holm,mission_success_p_holm,deadline_remaining_tasks_p_holm,throughput_p_holm,invalid_actions_p_holm,communication_events_p_holm,heartbeat_messages_p_holm,reallocated_tasks_p_holm,reallocation_successes_p_holm,reallocation_success_rate_p_holm,return_p_holm
ppo_event-minus-ppo_none,ppo_event,ppo_none,2x12,"[1, 2, 3, 4, 5]",-69.51209707472779,-71.76262959958812,-67.26156454986746,positive,0.0625,0.1741364599886137,0.16601724812507831,0.1822556718521491,positive,0.0625,0.04162087912087906,0.022849213470026036,0.06039254477173209,positive,0.0625,0.017999999999999995,-0.010309756339467138,0.04630975633946713,inconclusive,0.25,-0.5320000000000001,-0.7775465760787555,-0.28645342392124473,positive,0.0625,0.03842857142857146,0.021610482566290074,0.055246660290852845,positive,0.0625,-85.072,-87.69694837503216,-82.44705162496784,positive,0.0625,15.068000000000001,14.923648000000002,15.212352000000001,negative,0.0625,-2.032,-2.2787987339999933,-1.7852012660000067,positive,0.0625,0.006000000000000005,-0.025160522717053366,0.037160522717053376,inconclusive,0.6875,0.06000000000000001,0.047585350588921174,0.07241464941107885,positive,0.0625,0.2660795367866306,0.21631021856698426,0.3158488550062769,positive,0.0625,69.51209707472779,67.26156454986746,71.76262959958812,positive,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ppo_event-minus-ppo_none,ppo_event,ppo_none,3x16,"[1, 2, 3, 4, 5]",-70.36664996967144,-73.39861329713045,-67.33468664221243,positive,0.0625,0.17183454237391504,0.1599665682206272,0.1837025165272029,positive,0.0625,0.0401617647058824,0.020458065006499614,0.059865464405265176,positive,0.0625,0.008,-0.005599567051932203,0.0215995670519322,inconclusive,0.5,-0.6680000000000004,-0.994861475343914,-0.34113852465608674,positive,0.0625,0.05123076923076923,0.026194807486716036,0.07626673097482242,positive,0.0625,-88.74,-91.81629150712347,-85.66370849287652,positive,0.0625,19.764000000000003,19.658074591074666,19.86992540892534,negative,0.0625,-8.582,-9.748825153407314,-7.415174846592689,positive,0.0625,0.032000000000000015,-0.0013120000000000007,0.06531200000000004,inconclusive,0.0625,0.11399999999999999,0.102896,0.125104,positive,0.0625,0.42609768009768006,0.37772076273518596,0.4744745974601742,positive,0.0625,70.36664996967144,67.33468664221243,73.39861329713045,positive,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ppo_event-minus-ppo_none,ppo_event,ppo_none,3x20,"[1, 2, 3, 4, 5]",-82.0985583778449,-85.2583396941013,-78.9387770615885,positive,0.0625,0.12872366836062493,0.12058802618773855,0.1368593105335113,positive,0.0625,0.05313186523621298,0.029267736077355447,0.07699599439507052,positive,0.0625,0.032,0.005085681431624543,0.05891431856837546,positive,0.125,-1.11,-1.6110660775586392,-0.608933922441361,positive,0.0625,0.061111111111111206,0.03338969347860983,0.08883252874361258,positive,0.0625,-103.676,-106.9384508184762,-100.4135491815238,positive,0.0625,24.028,23.92775603008659,24.128243969913406,negative,0.0625,-12.371999999999998,-13.522999366144047,-11.22100063385595,positive,0.0625,0.039999999999999994,0.0247952218036566,0.05520477819634339,positive,0.0625,0.134,0.11984512183026644,0.14815487816973358,positive,0.0625,0.44542242703533025,0.37624907202877417,0.5145957820418864,positive,0.0625,82.0985583778449,78.93877706158851,85.25833969410128,positive,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ppo_event-minus-ppo_none,ppo_event,ppo_none,4x24,"[1, 2, 3, 4, 5]",-19.68553940530532,-24.543705233996768,-14.827373576613873,positive,0.0625,0.035500000000000066,0.022896047947832614,0.04810395205216752,positive,0.0625,0.043333333333333335,0.014321975040416511,0.07234469162625015,positive,0.0625,0.008,-0.025312,0.041312,inconclusive,0.625,-1.04,-1.7362725990300065,-0.34372740096999366,positive,0.0625,0.06499999999999999,0.021482962560624624,0.10851703743937535,positive,0.0625,-29.627999999999997,-35.01724063415839,-24.238759365841602,positive,0.0625,27.85,27.776031189275482,27.92396881072452,negative,0.0625,-3.1439999999999984,-4.886138511397987,-1.40186148860201,positive,0.0625,-0.0020000000000000074,-0.03413452324214567,0.030134523242145654,inconclusive,1.0,0.11599999999999999,0.1092002164740339,0.12279978352596609,positive,0.0625,0.5921804511278196,0.5618073046233375,0.6225535976323017,positive,0.0625,19.68553940530532,14.827373576613887,24.543705233996754,positive,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gppo_event-minus-ppo_event,gppo_event,ppo_event,2x12,"[1, 2, 3, 4, 5]",-0.4796793334521084,-0.8717839225839621,-0.08757474432025475,positive,0.0625,0.0018771277741865377,-0.0020613215413539093,0.005815577089726985,inconclusive,0.3125,0.012078754578754602,0.0020326092815982424,0.022124899875910962,positive,0.0625,0.007999999999999998,-0.01041390083605318,0.026413900836053175,inconclusive,0.5,-0.15199999999999986,-0.28379423623209005,-0.020205763767909668,positive,0.0625,0.010571428571428542,0.0013474124289926132,0.01979544471386447,positive,0.0625,-0.028000000000000004,-0.05020800000000001,-0.0057919999999999985,positive,0.125,-0.11799999999999962,-0.2758663142788851,0.03986631427888586,inconclusive,0.1875,-0.07600000000000015,-0.2353723818482983,0.08337238184829801,inconclusive,0.25,0.026000000000000002,-0.002580669271379909,0.05458066927137992,inconclusive,0.125,0.022,0.011613159094315538,0.03238684090568446,positive,0.0625,0.06020251449542067,-0.004288246779257647,0.12469327577009898,inconclusive,0.125,0.479679333452108,0.0875747443202553,0.8717839225839608,positive,0.0625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gppo_event-minus-ppo_event,gppo_event,ppo_event,3x16,"[1, 2, 3, 4, 5]",0.010770282802568688,-0.494889420253015,0.5164299858581524,inconclusive,0.875,-0.001283496732026146,-0.003324482305888201,0.0007574888418359091,inconclusive,0.1875,-0.004037581699346449,-0.022014029708003993,0.013938866309311097,inconclusive,0.5625,-0.004,-0.01815487816973357,0.01015487816973357,inconclusive,0.75,0.06600000000000002,-0.23034368846999254,0.36234368846999254,inconclusive,0.5625,-0.00507692307692309,-0.02787259142076864,0.01771874526692246,inconclusive,0.5625,0.04599999999999999,0.009172198327893635,0.08282780167210635,negative,0.0625,0.08599999999999852,-0.07385518326285445,0.2458551832628515,inconclusive,0.25,0.048000000000000397,-0.3414719096212196,0.43747190962122035,inconclusive,0.75,0.007999999999999997,-0.020309756339467144,0.036309756339467134,inconclusive,0.5625,0.008000000000000004,-0.01891431856837545,0.03491431856837546,inconclusive,0.625,0.014837438423645332,-0.057614624086781,0.08728950093407167,inconclusive,0.6875,-0.01077028280256762,-0.5164299858581514,0.4948894202530161,inconclusive,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gppo_event-minus-ppo_event,gppo_event,ppo_event,3x20,"[1, 2, 3, 4, 5]",-0.2524618029849542,-0.7099963490607277,0.2050727430908193,inconclusive,0.25,-0.0005377564464520423,-0.007111682944237745,0.00603617005133366,inconclusive,0.875,-0.002604140786749487,-0.020269787717007347,0.015061506143508374,inconclusive,0.625,0.014000000000000002,-0.019542535622698528,0.04754253562269853,inconclusive,0.5,0.05600000000000014,-0.3112932303432772,0.42329323034327754,inconclusive,0.625,-0.002888888888888941,-0.023599503599201373,0.017821725821423492,inconclusive,0.6875,0.030000000000000016,-0.10740498972016992,0.16740498972016996,inconclusive,0.625,-0.005999999999998807,-0.20377904180170328,0.19177904180170566,inconclusive,0.9375,-0.18200000000000002,-0.809425130819608,0.4454251308196079,inconclusive,0.5,-0.023999999999999987,-0.038154878169733536,-0.009845121830266436,negative,0.0625,-0.036000000000000004,-0.050154878169733574,-0.021845121830266434,negative,0.0625,-0.09257623108568605,-0.1530801935521565,-0.03207226861921561,negative,0.0625,0.252461802984952,-0.20507274309081974,0.7099963490607237,inconclusive,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gppo_event-minus-ppo_event,gppo_event,ppo_event,4x24,"[1, 2, 3, 4, 5]",-0.3686182379855779,-0.6660263567963962,-0.07121011917475961,positive,0.125,-0.0015833333333334476,-0.004378544635225077,0.0012118779685581819,inconclusive,0.1875,0.0044999999999999485,-0.004042122335813332,0.01304212233581323,inconclusive,0.25,0.006,-0.012827748033155744,0.024827748033155746,inconclusive,0.75,-0.10800000000000001,-0.3130109360595187,0.09701093605951863,inconclusive,0.25,0.0067499999999999895,-0.006063183503719886,0.019563183503719866,inconclusive,0.25,0.06799999999999999,-0.00873016658394532,0.1447301665839453,inconclusive,0.125,-0.07399999999999948,-0.1593817456837231,0.011381745683724132,inconclusive,0.125,-0.6920000000000002,-1.4056749936378619,0.021674993637861517,inconclusive,0.125,0.024,-0.009542535622698516,0.05754253562269852,inconclusive,0.25,0.016000000000000007,-0.004773681811368911,0.036773681811368926,inconclusive,0.25,0.0070148196578402764,-0.029669134955186267,0.04369877427086682,inconclusive,0.625,0.36861823798557725,0.07121011917475606,0.6660263567963984,positive,0.125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gppo_none-minus-ppo_none,gppo_none,ppo_none,2x12,"[1, 2, 3, 4, 5]",-1.5477420503452635,-4.8981414684065445,1.8026573677160171,inconclusive,0.375,0.006047566319204556,-0.005903646347160715,0.017998778985569827,inconclusive,0.25,0.028047619047619033,-0.011168339808848026,0.06726357790408609,inconclusive,0.125,0.011999999999999997,-0.03395097631171724,0.05795097631171724,inconclusive,0.5625,-0.354,-0.8503220950310391,0.14232209503103915,inconclusive,0.125,0.02528571428571429,-0.010143676184081084,0.06071510475550966,inconclusive,0.125,-1.5319999999999965,-5.390254536142472,2.3262545361424793,inconclusive,0.375,0.0,0.0,0.0,inconclusive,1.0,-0.2819999999999997,-0.6867061461159188,0.12270614611591946,inconclusive,0.125,0.008000000000000002,-0.01041390083605318,0.026413900836053182,inconclusive,0.5,0.0,0.0,0.0,inconclusive,1.0,0.0,0.0,0.0,inconclusive,1.0,1.5477420503452606,-1.8026573677160276,4.898141468406549,inconclusive,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gppo_none-minus-ppo_none,gppo_none,ppo_none,3x16,"[1, 2, 3, 4, 5]",0.9161302704853739,-4.614998312521652,6.447258853492399,inconclusive,0.6875,-0.0011673533986093388,-0.025925625895278796,0.023590919098060117,inconclusive,0.8125,0.009841503267973839,-0.03070137544459467,0.05038438198054235,inconclusive,0.5625,-0.001999999999999999,-0.01818672246009055,0.014186722460090555,inconclusive,1.0,-0.16200000000000045,-0.8341933677030745,0.5101933677030736,inconclusive,0.5625,0.012461538461538413,-0.03921476923076921,0.06413784615384605,inconclusive,0.5625,1.4439999999999997,-4.59760287962855,7.48560287962855,inconclusive,0.5625,0.0,0.0,0.0,inconclusive,1.0,0.00799999999999983,-1.2661930718631291,1.2821930718631287,inconclusive,0.9375,-0.003999999999999998,-0.0363734449201811,0.02837344492018111,inconclusive,1.0,0.0,0.0,0.0,inconclusive,1.0,0.0,0.0,0.0,inconclusive,1.0,-0.9161302704853824,-6.44725885349242,4.614998312521655,inconclusive,0.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
