method_id,scale,training_seed,evaluation_episodes,makespan,completion_rate,deadline_completion_rate,mission_success,deadline_remaining_tasks,throughput,invalid_actions,communication_events,heartbeat_messages,reallocated_tasks,reallocation_successes,reallocation_success_rate,return
gppo_always,2x12,1,100,17.436655403674383,0.9048763736263736,0.7659853479853479,0.11,2.96,0.6864285714285714,0.0,31.72,9.58,0.26,0.08,0.3076923076923077,-6.376006622225382
gppo_always,2x12,2,100,17.39915865768539,0.9064478021978022,0.762679487179487,0.1,3.0,0.6835714285714285,0.0,31.66,9.6,0.25,0.09,0.36,-6.338509876236394
gppo_always,2x12,3,100,17.343235048395204,0.9072170329670332,0.769565934065934,0.12,2.92,0.6892857142857142,0.0,31.52,9.63,0.24,0.08,0.3333333333333333,-6.2825862669462085
gppo_always,2x12,4,100,17.351610544988365,0.9055503663003662,0.774456043956044,0.11,2.86,0.6935714285714285,0.0,31.59,9.52,0.25,0.09,0.36,-6.290961763539366
gppo_always,2x12,5,100,17.43819412322521,0.9048763736263736,0.768201465201465,0.09,2.93,0.6885714285714286,0.0,31.69,9.69,0.26,0.09,0.34615384615384615,-6.37754534177621
gppo_always,3x16,1,100,18.702099397035514,0.9417524509803923,0.737998366013072,0.04,4.33,0.9392307692307691,0.0,39.75,25.49,0.28,0.13,0.4642857142857143,-6.301066792019088
gppo_always,3x16,2,100,18.8932824772773,0.9398774509803922,0.7255759803921568,0.01,4.53,0.9238461538461539,0.0,39.86,25.53,0.26,0.13,0.5,-6.492249872260876
gppo_always,3x16,3,100,19.499127405895436,0.9374509803921569,0.7093831699346406,0.0,4.8,0.9030769230769231,0.0,40.66,26.04,0.26,0.11,0.4230769230769231,-7.0980948008790135
gppo_always,3x16,4,100,18.72930325967169,0.9415767973856208,0.7283210784313725,0.0,4.49,0.9269230769230771,0.0,39.83,25.51,0.26,0.11,0.4230769230769231,-6.328270654655261
gppo_always,3x16,5,100,18.95928809333209,0.9410580065359477,0.7371609477124182,0.0,4.34,0.9384615384615383,0.0,40.23,25.71,0.29,0.12,0.41379310344827586,-6.558255488315667
gppo_always,3x20,1,100,23.097162717839915,0.9385976849237718,0.8055077169207605,0.07,4.04,0.9261111111111111,0.0,46.87,28.65,0.28,0.09,0.32142857142857145,-10.410719041006736
gppo_always,3x20,2,100,22.98597010333217,0.9351083192170148,0.8040013175230568,0.08,4.07,0.9244444444444444,0.0,46.61,28.38,0.3,0.12,0.4,-10.299526426498996
gppo_always,3x20,3,100,23.308706031048317,0.9290159984942593,0.7797166384340296,0.05,4.58,0.896111111111111,0.0,46.74,28.81,0.28,0.1,0.35714285714285715,-10.622262354215133
gppo_always,3x20,4,100,23.116403784480283,0.935898833051007,0.798651138716356,0.09,4.19,0.9177777777777777,0.0,46.83,28.6,0.29,0.13,0.4482758620689655,-10.429960107647107
gppo_always,3x20,5,100,22.838036905327716,0.9347105213626952,0.8062268962921137,0.06,4.02,0.9266666666666667,0.0,46.44,28.19,0.26,0.09,0.34615384615384615,-10.151593228494544
gppo_always,4x24,1,100,20.987826600008958,0.9691666666666667,0.8274999999999999,0.06,4.14,1.24125,0.0,52.53,46.04,0.21,0.11,0.5238095238095238,-8.173463951325314
gppo_always,4x24,2,100,21.36298007951561,0.97,0.8183333333333335,0.03,4.36,1.2275,0.0,52.91,46.63,0.22,0.13,0.5909090909090909,-8.548617430831962
gppo_always,4x24,3,100,21.75852108981048,0.96875,0.8079166666666667,0.02,4.61,1.211875,0.0,53.51,47.26,0.22,0.13,0.5909090909090909,-8.944158441126833
gppo_always,4x24,4,100,21.261317758534474,0.97,0.8266666666666665,0.03,4.16,1.24,0.0,53.07,46.38,0.21,0.13,0.6190476190476191,-8.446955109850824
gppo_always,4x24,5,100,21.143960277165096,0.97,0.8241666666666667,0.04,4.22,1.23625,0.0,52.6,46.39,0.2,0.1,0.5,-8.329597628481453
gppo_event,2x12,1,100,17.38113307191803,0.9024376212023271,0.7591923076923076,0.1,3.04,0.6807142857142856,0.1,14.9,9.65,0.26,0.07,0.2692307692307692,-6.320484290469031
gppo_event,2x12,2,100,17.540224326926765,0.9049954212454212,0.7592912087912089,0.09,3.05,0.68,0.12,15.05,9.66,0.26,0.09,0.34615384615384615,-6.479575545477767
