method_id,scale,training_seeds,evaluation_episodes,replicate_unit,makespan,makespan_ci95_lower,makespan_ci95_upper,completion_rate,completion_rate_ci95_lower,completion_rate_ci95_upper,deadline_completion_rate,deadline_completion_rate_ci95_lower,deadline_completion_rate_ci95_upper,mission_success,mission_success_ci95_lower,mission_success_ci95_upper,deadline_remaining_tasks,deadline_remaining_tasks_ci95_lower,deadline_remaining_tasks_ci95_upper,throughput,throughput_ci95_lower,throughput_ci95_upper,invalid_actions,invalid_actions_ci95_lower,invalid_actions_ci95_upper,communication_events,communication_events_ci95_lower,communication_events_ci95_upper,heartbeat_messages,heartbeat_messages_ci95_lower,heartbeat_messages_ci95_upper,reallocated_tasks,reallocated_tasks_ci95_lower,reallocated_tasks_ci95_upper,reallocation_successes,reallocation_successes_ci95_lower,reallocation_successes_ci95_upper,reallocation_success_rate,reallocation_success_rate_ci95_lower,reallocation_success_rate_ci95_upper,return,return_ci95_lower,return_ci95_upper
gppo_always,2x12,5,500,training_seed,17.39377075559371,17.337654002512803,17.449887508674617,0.9057935897435897,0.9045220858296934,0.907065093657486,0.7681776556776556,0.7627526487373238,0.7736026626179874,0.10600000000000001,0.09184512183026644,0.12015487816973358,2.9339999999999997,2.8697309535157083,2.998269046484291,0.6882857142857143,0.6836950681082649,0.6928763604631637,0.0,0.0,0.0,31.636000000000003,31.535679185330263,31.736320814669742,9.604,9.526172920291199,9.6818270797088,0.252,0.24161315909431552,0.2623868409056845,0.086,0.0792002164740339,0.09279978352596609,0.3414358974358975,0.31426658368318083,0.3686052111886141,-6.333121974144712,-6.389238727225618,-6.277005221063805
gppo_always,3x16,5,500,training_seed,18.956620126642406,18.556843990083436,19.356396263201376,0.940343137254902,0.9381397069834799,0.9425465675263242,0.7276879084967319,0.713317333705388,0.7420584832880759,0.01,-0.011502803538143576,0.031502803538143574,4.497999999999999,4.261241210883312,4.734758789116687,0.9263076923076923,0.9080954777602549,0.9445199068551297,0.0,0.0,0.0,40.065999999999995,39.59419431972898,40.53780568027101,25.656,25.368097882855995,25.943902117144003,0.27,0.2524430344307452,0.28755696556925486,0.12,0.10758535058892116,0.13241464941107883,0.4448465327775673,0.39952058992727135,0.49017247562786326,-6.555587521625981,-6.955363658184952,-6.155811385067009
gppo_always,3x20,5,500,training_seed,23.06925590840568,22.85356872378495,23.28494309302641,0.9346662714097496,0.9303167936839851,0.939015749135514,0.7988207415772633,0.7850606181362985,0.8125808650182282,0.07,0.050370715754261455,0.08962928424573856,4.18,3.890576204986528,4.469423795013471,0.9182222222222223,0.9022589184644094,0.9341855259800351,0.0,0.0,0.0,46.698,46.48022992146762,46.91577007853238,28.526,28.224628152714956,28.827371847285043,0.28200000000000003,0.2635860991639469,0.3004139008360532,0.10600000000000001,0.08344766938873058,0.12855233061126944,0.37460022735884807,0.31248221378556973,0.4367182409321264,-10.382812231572505,-10.59849941619323,-10.16712504695178
gppo_always,4x24,5,500,training_seed,21.30292116100692,20.942328293948023,21.66351402806582,0.9695833333333332,0.968851793101281,0.9703148735653855,0.8209166666666668,0.8108569909705468,0.830976342362787,0.036000000000000004,0.017172251966844264,0.054827748033155745,4.298,4.056567783293115,4.539432216706885,1.231375,1.21628548645582,1.2464645135441803,0.0,0.0,0.0,52.924,52.433220785835424,53.414779214164575,46.54,45.97632843208123,47.10367156791877,0.21200000000000002,0.20161315909431557,0.22238684090568447,0.12,0.10244303443074515,0.13755696556925484,0.564935064935065,0.502289221858556,0.627580908011574,-8.488558512323277,-8.849151379382173,-8.12796564526438
gppo_event,2x12,5,500,training_seed,17.35887241322282,17.10626605785592,17.61147876858972,0.9040215901745313,0.9010826999127887,0.906960480436274,0.7639417582417583,0.7581695810353751,0.7697139354481414,0.10200000000000001,0.07979200000000002,0.124208,2.984,2.9097193025342385,3.0582806974657615,0.6841428571428572,0.6793922690890324,0.6888934451966819,0.1,0.08037071575426145,0.11962928424573856,14.95,14.827101241015216,15.072898758984783,9.65,9.533871588317071,9.76612841168293,0.252,0.2384004329480678,0.2655995670519322,0.082,0.07161315909431555,0.09238684090568446,0.3262820512820513,0.2765518312971149,0.37601227126698766,-6.298223631773824,-6.550829987140724,-6.045617276406923
gppo_event,3x16,5,500,training_seed,18.935709580669876,18.703078826615243,19.16834033472451,0.9399534313725489,0.9381637585589956,0.9417431041861023,0.7311911764705882,0.7205153971183692,0.7418669558228072,0.012,-0.001599567051932203,0.025599567051932205,4.444000000000001,4.270727781522831,4.61727221847717,0.9304615384615385,0.9171329062709869,0.94379017065209,0.22200000000000003,0.19508568143162458,0.24891431856837548,19.85,19.765343377813664,19.93465662218634,25.613999999999997,25.29019414666192,25.937805853338073,0.276,0.2618451218302665,0.29015487816973357,0.122,0.10358609916394682,0.14041390083605318,0.4409351185213254,0.3943531094505669,0.4875171275920839,-6.534676975653454,-6.767307729708085,-6.3020462215988235
gppo_event,3x20,5,500,training_seed,23.19538858099661,23.01616190471466,23.37461525727856,0.9341392245435725,0.9280426958989698,0.9402357531881751,0.7989019951063427,0.7928916867638025,0.804912303448883,0.078,0.05958609916394682,0.09641390083605318,4.182,4.058351089030271,4.30564891096973,0.9186666666666667,0.9118633862088542,0.9254699471244793,0.562,0.5186374937993663,0.6053625062006338,24.022,23.854885722261677,24.18911427773832,28.424,28.110594640607406,28.737405359392593,0.278,0.2676131590943156,0.28838684090568445,0.098,0.08181327753990945,0.11418672246009055,0.3528461959496442,0.29241434589835485,0.4132780460009336,-10.508944904163432,-10.688171580445383,-10.32971822788148
gppo_event,4x24,5,500,training_seed,21.5576677400302,21.214308242708725,21.901027237351677,0.9700833333333332,0.9683912758743666,0.9717753907922998,0.8154999999999999,0.8090041039793487,0.821995896020651,0.036000000000000004,0.02489600000000001,0.047104,4.428,4.272098495504373,4.583901504495627,1.22325,1.2135061559690232,1.2329938440309767,0.374,0.3382337419346111,0.4097662580653889,27.776,27.694781241969604,27.857218758030395,46.762,45.989722986653106,47.534277013346895,0.21999999999999997,0.19088506637479657,0.24911493362520337,0.132,0.1116006494221017,0.1523993505778983,0.5991952707856598,0.5758177286223395,0.6225728129489801,-8.74330509134656,-9.086664588668036,-8.399945594025084
gppo_event_no_gate,2x12,5,500,training_seed,17.364300812695287,17.121265511734585,17.60733611365599,0.9043173992673992,0.9026514068207779,0.9059833917140204,0.766514652014652,0.7572116348046196,0.7758176692246843,0.11199999999999999,0.06126674873418815,0.16273325126581184,2.948,2.828148791979388,3.067851208020612,0.6867142857142856,0.6785724898135156,0.6948560816150556,0.09799999999999999,0.07760064942210168,0.1183993505778983,14.947999999999999,14.847756030086591,15.048243969913406,9.634,9.540848756444158,9.727151243555843,0.25,0.23037071575426143,0.26962928424573857,0.082,0.07161315909431555,0.09238684090568446,0.3277413600891862,0.29962017787163414,0.35586254230673825,-6.303652031246292,-6.546687332206995,-6.06061673028559
gppo_event_no_gate,3x16,5,500,training_seed,18.97157724436157,18.800762187876433,19.142392300846705,0.941108660130719,0.938832014811073,0.943385305450365,0.7297524509803922,0.7194413861369874,0.740063515823797,0.012,-0.004186722460090553,0.028186722460090553,4.465999999999999,4.296096099821104,4.635903900178895,0.9287692307692307,0.9156996999862388,0.9418387615522226,0.202,0.17508568143162456,0.22891431856837546,19.863999999999997,19.81465274459506,19.913347255404933,25.694,25.50910923025743,25.87889076974257,0.268,0.24108568143162457,0.29491431856837547,0.118,0.10181327753990944,0.13418672246009056,0.4412742200328408,0.38122696777896226,0.5013214722867193,-6.5705446393451465,-6.74135969583028,-6.399729582860013
